id,Date,Longitude,Latitude,Route,Operator,Type,Registration,Aboard,Fatalities,weather,terrain,sabotage,unknown,mechanical,human,pilot,flt_src,flt_dest,src_lon,src_lat,dest_lon,dest_lat
3017,12/04/1977,103.6165,1.364,Penang - Kuala Lumpur,Malaysia Airlines,Boeing B-737-2H6,9M-MBD,100,100,0,0,1,0,0,0,0,Penang,Kuala Lumpur,100.255908,5.406501,101.713636,3.154687
3021,12/13/1977,-87.574963,37.997128,Evansville - Nashville,"National Jet Services Inc.,  (Air Indiana)",Douglas DC-3,N51071,29,29,1,0,0,0,0,0,1,Evansville,Nashville,-87.555848,37.974765,-86.774353,36.16223
3023,12/18/1977,-16.75,32.66667,Geneva - Funchal,SATA,Aerospatiale Caravelle 10R,HB-ICK,57,36,0,0,0,0,0,0,0,Geneva,Funchal,6.146601,46.201756,-16.908678,32.64965
3024,12/18/1977,-111.900719,40.756095,"San Francisco, CA - Salt Lake City, Utah",United Air Lines,Douglas DC-8-54F,N8047U,3,3,0,0,0,0,0,1,0,"San Francisco, CA","Salt Lake City, Utah",-73.437309,45.442354,-100.445882,39.78373
3025,12/19/1977,-65.83294,18.42495,"St Croix, VI - Vieques, PR",Vieques Air Link,Britten-Norman BN-2A Islander,N862JA,10,5,0,0,0,0,0,0,0,"St Croix, VI","Vieques, PR",-64.759016,17.728956,-65.469542,18.105924
3027,12/22/1977,-96.931852,30.249357,"Houston, TX - Austin, TX",Aviation Charter - Air Taxi,Piper PA-28R,N116MM,2,2,0,0,0,0,0,0,0,"Houston, TX","Austin, TX",-95.367697,29.758938,-97.743699,30.271129
3029,12/29/1977,-79.00453,-2.90054,Guayaquil - Cuenca,Servicios Aereos Nacionales,Vickers Viscount 764 D,HC-BEM,24,24,0,0,0,0,0,0,0,Guayaquil,Cuenca,-79.905024,-2.170414,-2.134824,40.068116
3030,1/01/1978,72.86036,19.07715,Bombay - Dubai,Air India,Boeing B-747-237B,VT-EBD,213,213,0,0,0,0,0,0,0,Bombay,Dubai,0.990497,45.039757,55.188761,25.07501
3031,1/06/1978,-88.912852,37.729571,"Greenville, KY - Marion, IL",Aviation Charter - Air Taxi,Cessna 337G,N719047,2,2,0,0,0,0,0,0,0,"Greenville, KY","Marion, IL",-87.178885,37.201154,-88.933126,37.730605
3032,01/24/1978,-78.720302,41.118045,"Dubois, PA - Lancaster, PA",Henry Webber Air - Air Taxi,Aerostar 601P,N1BE,2,2,0,0,0,0,0,0,0,"Dubois, PA","Lancaster, PA",-78.76003,41.119228,-76.305669,40.03813
3033,01/27/1978,-74.53854,5.01834,Neiva - San Vincente,SADELCA,Douglas DC-3,HK-1351X,14,14,1,0,0,0,0,0,0,Neiva,San Vincente,-75.279442,3.033267,-64.13249,-28.489364
3035,2/10/1978,-56.46667,-30.4,Artigas - Montevideo,Military - Uruguayan Air Force,Douglas C-47A-DL,T511,44,44,0,0,0,0,0,0,0,Artigas,Montevideo,-56.937345,-30.617076,-56.191357,-34.905904
3036,2/10/1978,-119.28446,46.28569,"Richland, WA - Seattle, WA",Columbia PacifiAirlines,Beechcraft 99,N199EA,17,17,0,0,0,0,0,0,0,"Richland, WA","Seattle, WA",-119.276907,46.277841,-122.330062,47.603832
3037,2/11/1978,-115.76879,49.49991,Calgary - Cranbrook,PacifiWestern Airlines,Boeing B-737-275,C-FPWC,49,42,0,0,0,0,0,0,1,Calgary,Cranbrook,-114.062589,51.053423,-115.767277,49.510748
